	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	0.0	0.5433912649197429	248.0	9088.245967741936
1	14.0	0.5518302367567073	1377.0	7443.108932461873
2	15.0	0.5492921861596136	2724.0	9072.283406754772
3	16.0	0.5488590244321397	2797.0	9662.034680014302
4	17.0	0.5485701206310892	2406.0	10519.270573566086
5	18.0	0.5646014636794172	2371.0	9525.457191058626
6	19.0	0.5613491763587835	2277.0	11129.376811594202
7	20.0	0.5526254591274354	1842.0	11255.140608034744
8	21.0	0.5566483265875679	1777.0	10433.658413055711
9	22.0	0.5531834014552739	1616.0	9972.439975247526
10	23.0	0.5560003611372372	1584.0	10699.704545454546
